dispute_id,year,institution,guild,practitioner_role,disclosure_type,institution_argument,practitioner_argument,kellis_vorn_principle,resolution,resolution_notes,precedent_cited,dens_proximity
MDD-0001,851,Capital Archive,Cartographer's Guild,Field Surveyor,route_decisions,"Institutional memory requires documentation of surveyor choices for training successors","Route selection reflects tacit knowledge accumulated over decades; documentation extracts without compensation",results_oriented,disclosure_required,"Full route logs required quarterly",null,34.5
MDD-0002,852,Traders Guild Council,Traders Guild,Senior Trader,pricing_decisions,"Fair trade standards require transparent pricing rationale","Pricing strategy is competitive advantage; disclosure enables undercutting",system_transparency,disclosure_required,"Weekly pricing rationale reports mandated",null,78.2
MDD-0003,853,Capital Archive,Scholars Guild,Document Authenticator,classification_reasoning,"Authentication standards require documented decision chains","Classification intuition cannot be codified without losing nuance",proportionate_oversight,disclosure_required,"Decision logs required for disputed documents only",null,12.8
MDD-0004,854,Cartographer's Guild Council,Cartographer's Guild,Master Surveyor,tool_selection,"Equipment standardization requires method documentation","Tool choices reflect environmental judgment; standardization degrades adaptability",results_oriented,disclosure_required,"Annual tool usage surveys mandated",null,45.1
MDD-0005,855,Capital Archive,Traders Guild,Route Planner,route_decisions,"Safety oversight requires route planning transparency","Route optimization is proprietary methodology developed over years",system_transparency,disclosure_required,"Full route plans required before departure",null,67.3
MDD-0006,856,Scholars Guild Council,Scholars Guild,Research Analyst,classification_reasoning,"Peer review requires methodological transparency","Research intuition would be constrained by procedural documentation",proportionate_oversight,disclosure_required,"Methodology sections required in all reports",null,23.4
MDD-0007,857,Capital Archive,Cartographer's Guild,Boundary Marker,tool_selection,"Archive standards require consistent marking methods","Marking techniques vary by terrain; standardization reduces accuracy",results_oriented,disclosure_required,"Marking protocols documented post-completion",null,89.2
MDD-0008,858,Traders Guild Council,Traders Guild,Junior Trader,pricing_decisions,"Apprentice oversight requires decision visibility","Learning requires experimentation without surveillance",results_oriented,disclosure_required,"All junior trader decisions subject to review",null,56.7
MDD-0009,859,Capital Archive,Scholars Guild,Senior Archivist,classification_reasoning,"Collection integrity requires classification rationale","Expert judgment cannot be reduced to documented rules",proportionate_oversight,disclosure_required,"Classification decisions logged in perpetuity",null,15.3
MDD-0010,860,Cartographer's Guild Council,Cartographer's Guild,Field Surveyor,route_decisions,"Guild knowledge preservation requires method capture","Surveyor craft is embodied knowledge; documentation distorts it",system_transparency,disclosure_required,"Route decision trees submitted monthly",null,42.6
MDD-0011,861,Capital Archive,Traders Guild,Senior Trader,pricing_decisions,"Historical records require pricing methodology archives","Trade secrets disclosed become trade nullified",results_oriented,disclosure_required,"Pricing algorithms documented for archive",null,71.8
MDD-0012,862,Scholars Guild Council,Scholars Guild,Document Authenticator,tool_selection,"Quality assurance requires understanding authentication tools","Tool mastery is personal; documentation creates audit burden",proportionate_oversight,disclosure_required,"Tool inventories and usage logs required",null,28.9
MDD-0013,863,Capital Archive,Cartographer's Guild,Master Surveyor,classification_reasoning,"Territorial records require consistent classification","Classification reflects local ecological knowledge",system_transparency,disclosure_required,"Classification rubrics formalized",null,53.2
MDD-0014,864,Traders Guild Council,Traders Guild,Route Planner,route_decisions,"Risk management requires route transparency","Route innovation requires freedom from documentation burden",results_oriented,disclosure_required,"Pre-journey route filings mandatory",null,82.4
MDD-0015,865,Capital Archive,Scholars Guild,Research Analyst,tool_selection,"Research reproducibility requires tool documentation","Analysis tools are adapted per project; standardization impossible",proportionate_oversight,disclosure_required,"Tool configurations logged per project",null,19.7
MDD-0016,866,Cartographer's Guild Council,Cartographer's Guild,Boundary Marker,pricing_decisions,"Contract transparency requires pricing visibility","Boundary marking fees reflect complexity assessment",system_transparency,disclosure_required,"Fee calculations disclosed to clients",null,64.5
MDD-0017,867,Capital Archive,Traders Guild,Junior Trader,classification_reasoning,"Training records require decision documentation","Learning traders need space to fail without permanent record",results_oriented,disclosure_required,"All classification errors documented",null,37.8
