roster_id,name,aliases,rank,unit,allegiance,role,commanding_officer,status,last_known_location,relationships,source_document,notes
SMR-001,The Colonel,,Colonel,Command,Capital/Siege Force,Supreme Commander,-,Active,Tower of Mirado (siege lines),"Temmer (spouse); Tormon (brother); Skurla (daughter); Fyncho (aide)",Command records,"Led assault on Tower. Previously Cafnet party Archivist. Builds little towers; keeps rabbits."
SMR-002,Mell,,Captain,First Column,Capital/Siege Force,Column Captain,The Colonel,Active,First Column position,,Field dispatch 34,"Commands First Column."
SMR-003,Gretl,,Captain,Second Column,Capital/Siege Force,Column Captain,The Colonel,Active,Second Column position,,Field dispatch 34,"Commands Second Column."
SMR-004,Temmen,,Captain,Third Column,Capital/Siege Force,Column Captain,The Colonel,Active,Third Column position,,Field dispatch 34,"Commands Third Column."
SMR-005,Orgo,,Captain,Fourth Column,Capital/Siege Force,Column Captain,The Colonel,Active,Fourth Column position,,Field dispatch 34,"Commands Fourth Column."
SMR-006,Tormon,,Captain,Fifth Column,Capital/Siege Force,Column Captain,The Colonel,Active,Fifth Column position,The Colonel (sibling),Field dispatch 34,"Commands Fifth Column. Colonel's brother."
SMR-007,Fyncho,Fincho,Lieutenant,Command Staff,Capital/Siege Force,Aide to Commander,The Colonel,Active,Command post,"The Colonel (commander); Met Crishl",Command records,"Primary record-keeper. Dreams documented. Travels in Mirado region. Attempted token designation for captured women."
SMR-008,Cortel,,Lieutenant,Column Administration,Capital/Siege Force,Column Organizer,The Colonel,Active,Tower interior,Oola (partner),Intelligence report,"Tower figure. Manages column logistics."
SMR-009,Oola,,Sergeant,Column Administration,Capital/Siege Force,Column Staff,Cortel,Active,Tower interior,Cortel (partner),Intelligence report,"Column figure. Works with Cortel."
SMR-010,Temmer,,Civilian,N/A,Capital/Siege Force (spouse),Colonel's Wife,N/A,Active,Siege camp,The Colonel (spouse),Personal correspondence,"Noncombatant. Present at siege camp."
SMR-011,Skurla,,Civilian/Scout,Intelligence,Capital/Siege Force,Tracker/Surveillant,The Colonel,Active,Field reconnaissance,The Colonel (father),Intelligence report,"Colonel's daughter. Maintains map book. Surveillance operations."
SMR-012,Hudd,,Council Member,Tower Council,Tower of Mirado,Council Member,-,Active (enemy),Tower of Mirado,Lekin; Miklin (council colleagues),Intelligence estimate,"Tower Council member. Enemy force."
SMR-013,Lekin,,Council Member,Tower Council,Tower of Mirado,Council Member,-,Active (enemy),Tower of Mirado,Hudd; Miklin (council colleagues),Intelligence estimate,"Tower Council member. Enemy force."
SMR-014,Miklin,,Council Member,Tower Council,Tower of Mirado,Council Member,-,Active (enemy),Tower of Mirado,Hudd; Lekin (council colleagues),Intelligence estimate,"Tower Council member. Enemy force."
SMR-015,Molgen,,Unknown,Tower Forces,Tower of Mirado,Tower Figure,-,Active (enemy),Tower of Mirado,,Intelligence estimate,"Tower figure. Role unclear from intelligence."
SMR-016,Trex,,Unknown,Tower Forces,Tower of Mirado,Tower Figure,-,Active (enemy),Tower of Mirado,,Intelligence estimate,"Tower figure. Role unclear from intelligence."
SMR-017,Turkel,,Unknown,Tower Forces,Tower of Mirado,Tower Figure,-,Active (enemy),Tower of Mirado,,Intelligence estimate,"Tower figure. Role unclear from intelligence."
SMR-018,Borpo,,Commander,Desert Forces,Desert Alliance,Desert Leader,-,Active,Desert region,,Intelligence report,"Desert forces commander. External alliance status unclear."
SMR-019,Elleth,,Unknown,Siege Personnel,Capital/Siege Force,Siege Figure,-,Unknown,Siege lines,,Field records,"Siege figure. Limited information."
SMR-020,Groff,,Unknown,Siege Personnel,Capital/Siege Force,Siege Figure,-,Unknown,Siege lines,,Field records,"Siege figure. Limited information."
SMR-021,Hemmel,,Unknown,Siege Personnel,Capital/Siege Force,Siege Figure,-,Unknown,Siege lines,,Field records,"Siege figure. Limited information."
SMR-022,Hemmhine,,Unknown,Siege Personnel,Capital/Siege Force,Siege Figure,-,Unknown,Siege lines,,Field records,"Siege figure. Limited information."
SMR-023,Morgo Kessip,,Unknown,Siege Personnel,Capital/Siege Force,Siege Figure,-,Unknown,Siege lines,,Field records,"Siege figure. Limited information."
SMR-024,Telth,,Unknown,Siege Personnel,Capital/Siege Force,Siege Figure,-,Unknown,Siege lines,,Field records,"Siege figure. Limited information."
SMR-025,Ulcheth,,Unknown,Siege Personnel,Capital/Siege Force,Siege Figure,-,Unknown,Siege lines,,Field records,"Siege figure. Limited information."
SMR-026,Bardem,,Private,Garrison,Capital/Siege Force,Garrison Soldier,-,Active,Garrison (south),Hears stories about Colonel,Garrison records,"Stationed south of main force. Source of Colonel information."
SMR-027,Crishl,Crazy Shaved Lady / geometrical hair woman,-,Unknown,Unknown,Retribution Agent,-,Unknown,Unknown,Met Fyncho; harnessed Yeller,Intelligence report,"Woman with geometrical hair. Created by Ageless Inventor for retribution against Governor Baxter. Harnessed Yeller creature."
