combinator,bird_name,notation,definition,ski_derivation,family,behavior,discovered_by,year,source_event,notes
S,Starling,S x y z,x z (y z),primitive,primary,Substitution - distributes z to both x and y then applies,jorell_vance,745,EV-745-001,The workhorse combinator
K,Kestrel,K x y,x,primitive,primary,Konstant - always returns first argument discarding second,jorell_vance,745,EV-745-001,Creates constants
I,Identity/Ibis,I x,x,S K K,primary,Identity - returns argument unchanged,jorell_vance,751,EV-751-001,Derivable from S and K
B,Bluebird,B f g x,f (g x),S (K S) K,composition,Composition - applies f to result of g x,jorell_vance,775,EV-775-001,Improves readability
C,Cardinal,C f x y,f y x,S (S (K (S (K S) K)) S) (K K),permutation,Flip - swaps second and third arguments,jorell_vance,775,EV-775-001,Argument reordering
W,Warbler,W f x,f x x,S S (S K),duplication,Duplicate - applies f to x twice,jorell_vance,778,EV-778-001,Self-application without omega
M,Mockingbird,M x,x x,S I I,self-application,Self-application - applies x to itself,jorell_vance,746,EV-746-001,M M = Omega
T,Thrush,T x f,f x,C I,permutation,Swap - applies f to x (flipped application),jorell_vance,778,EV-778-001,Thrush flips I
Y,Sage/Yfixator,Y f,f (Y f),S (K (S I I)) (S (S (K S) K) (K (S I I))),fixed_point,Fixed point - Y f reduces to f (Y f),jorell_vance,790,EV-790-001,Enables recursion
O,Owl,O f g,g (f g),S I,self-reference,Owl applies g to (f g),jorell_vance,782,EV-782-001,Related to fixed points
Q,Queer,Q f g x,g (f x),B (B B) B,composition,Composition variant,jorell_vance,782,EV-782-001,Alternative composition
L,Lark,L f g,f (g g),C B M,recursion,Lark for recursive definitions,jorell_vance,782,EV-782-001,Building block for Y
R,Robin,R x y z,y z x,B B T,permutation,Triple rotation,jorell_vance,782,EV-782-001,Rotates three arguments
V,Vireo,V x y f,f x y,B C T,pairing,Pairing combinator,jorell_vance,782,EV-782-001,Creates pairs
F,Finch,F x y z,z y x,E T T E T,permutation,Full reversal,jorell_vance,782,EV-782-001,Reverses three arguments
E,Eagle,E f g h x y,f (g x) (h y),B (B B B) B,composition,Double composition,jorell_vance,782,EV-782-001,Parallel composition
