creature_name,visual_elements,color_primary,color_secondary,texture,size_reference,symbolic_meaning,depiction_tradition,depiction_challenges,exemplar_description,prompt_keywords,source_fragments
Wharvers,"globed lizard body; fin array; leathery sack form; heavy glinting hooks (scales); hot belly",#8B4513,#92400E,"leathery scaled, metallic highlights",medium - forearm to torso,danger lurking beneath; hidden threat,Geometric School,"subterranean nature limits observation; emerges irregularly; retreats before approach","Leathery sack body rendered in Quarry Rust (#8B4513) with heavy hook-scales showing metallic rust patina (#92400E). Globed central form with fin extensions. Heat indicated by warm undertones at belly.","leathery sack, glinting hooks, fin array, rust patina, subterranean creature","dens ore.txt; HV-001"
Grimslew,"fifty fins; twin tails; leathery sack body; membranous fin extensions with visible veining; metal-like hook protrusions",#030712,#2A2A2A,"leathery with membranous fins",very large - dangerous predator,ultimate danger; the dreaded,Geometric School,"no specimen possible; observation from distance only; too dangerous; extreme aquatic depth","Body as leathery sack, darker at center (#2A2A2A), lighter at edges (#4A4A4A). Fifty fins as membranous extensions with visible veining. Twin tail configuration. Hooks rendered as metal-like protrusions with rust patina.","fifty fins, twin tails, dreaded fish, leathery sack, membranous, metal hooks","HV-021; grimslew island references"
Stonefrogs,"sessile stone-like form; camouflage coloring; filter-feeding apparatus",#52525B,#6B7280,"stone-like camouflage",small - fits in palm,patience; concealment; stillness,Geometric School,"stone-like camouflage makes observation difficult; sessile for extended periods then sudden bursts","Stone-gray body (#52525B) with perfect camouflage quality. Rendered as if carved from pool stone. Filter apparatus visible at mouth when active.","stone camouflage, sessile, pool dweller, Dens edge","HV-002"
Gritsmucks,"collective swarm form; loose aggregation; light-avoiding",#57534E,#44403C,"organic gritty, swarm-like",tiny - abundant swarm,decay; collective; ubiquity,Organic School,"collective movement in loose swarms; individual members tiny; avoids direct light","Rendered as swarm aggregation in muddy brown (#57534E). Individual forms barely distinguishable. Movement suggested through swarm dynamics. Light avoidance shown through shadowed placement.","swarm, detritivore, Dens surface, collective, densash consumer","HV-003"
Rock-finned Eel,"burrowing body; mineralized rock-like fins; aquatic predator form",#64748B,#374151,"mineral-flecked scales, rock-like fins",medium-large - dangerous length,depths; mineral-organic hybrid,Geometric School,"deep habitat limits observation; single specimen only; rock-like fin structure unique","Elongated body with distinctive rock-like fins (#64748B) showing mineral flecks. Cool gray with blue undertones. Predator form with visible hunting posture.","rock fins, aquatic predator, mineral hybrid, deep habitat, Dens pools","HV-004"
Gutzler,"scavenging form; nocturnal adaptation; urban peripheral habitat",#6B7280,#78716C,"varied organic, scavenger-typical",small-medium - dog-sized,opportunism; urban fringe; survival,Organic School,"nocturnal primarily; scavenges near settlements; well-documented","Scavenger form in neutral grays (#6B7280). Urban adaptation visible in build. Tucker of Capital provided specimen location. Well-suited for peripheral habitat depiction.","scavenger, nocturnal, Capital outskirts, urban peripheral, omnivore","HV-005"
Greybeakeel,"pool-dwelling form; filter-feeding adaptation; rarely surfaces",#CBD5E1,#9CA3AF,"cool silver scales",medium - kept in pools,hidden depths; controlled observation,Cartographic Guild Practice,"rarely surfaces; kept in pools by local crews; no wild specimen","Cool silver body (#CBD5E1) adapted for pool dwelling. Filter structures visible. Depicted in pool environment as controlled by edge crews.","pool dweller, silver scales, filter feeder, Dens edge, controlled","HV-006"
Hogfoots,"grazing posture; slow movement; gregarious herd form",#D4B896,#A8A29E,"soft domesticated hide",large - livestock size,domesticity; edge settlement life,Yeller Quarry Field,"domesticated by edge settlements; wild populations unconfirmed; grazing behavior","Large grazing form in natural tan (#D4B896). Gregarious herd depicted. Edge settlement pastoral scene. Soft hide texture suggests domestication.","grazing, domesticated, edge settlements, slow-moving, herd","HV-007"
Toadpipes,"pipe-like vocal apparatus; burrowing adaptation; dusk activity",#65A30D,#276749,"organic moist amphibian",small - easily captured,twilight; vocal communication; emergence,Organic School,"vocal at dusk; burrowing during day; specimens readily captured; distinctive calls","Small amphibian form with distinctive pipe-like vocal structures. Bright organic green (#65A30D) from bile pigment. Depicted at dusk emergence from burrow.","pipe calls, dusk vocal, burrowing, insectivore, Dens edge","HV-008"
Densfowl,"flocking form; roosts in scattered trees; omnivore build",#44403C,#57534E,"feathered common bird",small - common bird,ubiquity; scattered presence; common,Multiple traditions,"common; multiple specimens across years; flocking behavior well-documented","Common bird form in dark bark brown (#44403C). Flocking depicted with scattered tree roosts. Interior Dens setting. Multiple individuals for flock representation.","common fowl, flocking, roosts, Dens interior, omnivore","HV-009"
Barkbound Creatures,"rapid scurrying form; adheres to muck crust; bark-like appearance",#44403C,#292524,"chitinous bark-like shell",tiny - surface dwellers,surface activity; rapid response; detritus,Organic School,"surface-dwelling; easy to capture when muck crust stable; rapid scurrying","Tiny creatures with bark-like chitinous covering (#44403C). Depicted adhering to muck crust surface. Rapid scurrying motion suggested. Multiple specimens in colony arrangement.","bark-like, rapid, surface, chitinous, detritivore, muck crust","HV-010"
Shifties,"shifting indeterminate form; difficult tracking; brambly aspect",#A1A1AA,#6B7280,"uncertain shifting quality",small - difficult to observe,uncertainty; unpredictability; defiance of observation,Organic School,"movement pattern defies prediction; no specimen captured; shifting movement","Rendered with intentionally uncertain edges in shifting gray (#A1A1AA). Brambly form suggested but not defined. Movement pattern impossible to pin down. Depicted as visual uncertainty.","shifting, brambly, unpredictable, no specimen, movement defies","HV-011"
