square_id,transformation_name,source_functor,target_functor,object_A,object_B,morphism_f,eta_A,eta_B,F_f,G_f,commutes,verification_method,year_verified,verified_by,notes
SQ-001,catalog_to_author,subject_catalog_functor,author_index_functor,boundary_surveys,expedition_logs,topic_expansion,map_boundary_authors,map_expedition_authors,expand_topics,expand_authors,true,diagram_chase,948,gellen_tross,First verified naturality square
SQ-002,catalog_to_author,subject_catalog_functor,author_index_functor,creature_reports,anomaly_records,merge_categories,map_creature_authors,map_anomaly_authors,merge_topics,merge_authors,true,diagram_chase,948,gellen_tross,Categorical merge preserves naturality
SQ-003,author_to_date,author_index_functor,date_registry_functor,vornis_keth,torvun_kell,collaboration,keth_dates,kell_dates,find_keth_collabs,find_kell_collabs,true,diagram_chase,950,gellen_tross,Collaboration morphism square
SQ-004,model_shift,embedding_functor_A,embedding_functor_B,boundary_measurement,expedition_vector,semantic_similarity,transform_boundary,transform_expedition,embed_A_sim,embed_B_sim,true,numerical_verification,952,gellen_tross,First numerical naturality check
SQ-005,model_shift,embedding_functor_A,embedding_functor_B,keth_paper,kell_report,citation,transform_keth,transform_kell,embed_A_cite,embed_B_cite,true,numerical_verification,952,gellen_tross,Citation relation preserved
SQ-006,forget_weights,weighted_passage_functor,unweighted_functor,heavy_passage,light_passage,composition,forget_heavy,forget_light,compose_weighted,compose_unweighted,true,algebraic_proof,955,gellen_tross,Forgetful functor naturality
SQ-007,unit_weights,unweighted_functor,weighted_passage_functor,simple_A,simple_B,traverse,add_unit_A,add_unit_B,plain_traverse,weighted_traverse,true,algebraic_proof,955,gellen_tross,Unit weight inclusion
SQ-008,representation_shift,document_functor_D1,document_functor_D2,catalog_entry,index_entry,lookup,shift_catalog,shift_index,D1_lookup,D2_lookup,true,diagram_chase,958,gellen_tross,Archive restructuring square
SQ-009,identity_transformation,document_functor_D1,document_functor_D1,any_object,any_object,any_morphism,identity,identity,F_morphism,F_morphism,true,trivial,945,gellen_tross,Identity always commutes
SQ-010,perspective_shift,representable_functor_A,representable_functor_B,doc_X,doc_Y,relation,hom_A_X,hom_A_Y,hom_B_X,hom_B_Y,true,yoneda,962,gellen_tross,Yoneda-based verification
SQ-011,model_shift,embedding_functor_A,embedding_functor_B,form_library_doc,constellation_doc,conceptual_link,transform_form,transform_constellation,embed_A_link,embed_B_link,true,numerical_verification,955,gellen_tross,Cross-scholar document pair
SQ-012,radical_shift,embedding_functor_A,embedding_functor_C,boundary_survey,expedition_log,semantic_similarity,nonlinear_boundary,nonlinear_expedition,embed_A_sim,embed_C_sim,false,numerical_verification,960,lorren_dray,Counterexample: nonlinear fails
SQ-013,recalibration,measurement_functor_old,measurement_functor_new,sector_SW6,sector_SW8,drift_relation,recalib_SW6,recalib_SW8,old_drift,new_drift,true,numerical_verification,952,gellen_tross,Survey measurement naturality
SQ-014,horizontal_composite,composition_FG,composition_FH,test_A,test_B,test_f,composite_A,composite_B,FG_f,FH_f,true,algebraic_proof,965,gellen_tross,Horizontal composition square
SQ-015,migration,embedding_functor_old,embedding_functor_new,legacy_doc_1,legacy_doc_2,similarity,migrate_doc1,migrate_doc2,old_sim,new_sim,true,numerical_verification,970,gellen_tross,Model migration preserves structure
SQ-016,compression,embedding_functor_new,embedding_functor_old,modern_doc_1,modern_doc_2,similarity,compress_doc1,compress_doc2,new_sim,old_sim,true,numerical_verification,970,gellen_tross,Lossy compression still natural
SQ-017,enrichment,passage_diagram_functor,weighted_passage_functor,passage_A,passage_B,compose,enrich_A,enrich_B,plain_compose,weighted_compose,true,algebraic_proof,958,gellen_tross,Vance connection verified
SQ-018,archive_reform,classification_old,classification_new,document_X,document_Y,cross_reference,reclassify_X,reclassify_Y,old_ref,new_ref,true,institutional_verification,965,gellen_tross,Archive reform square
SQ-019,weight_rescaling,weighted_functor_half,weighted_functor_full,passage_A,passage_B,composition,rescale_A,rescale_B,half_compose,full_compose,true,algebraic_proof,962,gellen_tross,Weight normalization square
SQ-020,densification,embedding_sparse,embedding_dense,sparse_doc_1,sparse_doc_2,similarity,densify_doc1,densify_doc2,sparse_sim,dense_sim,true,numerical_verification,968,gellen_tross,Sparse to dense natural
SQ-021,rotation,embedding_functor_A,embedding_functor_A,any_doc_1,any_doc_2,any_relation,rotate_doc1,rotate_doc2,embed_A_rel,embed_A_rel_rotated,true,algebraic_proof,970,gellen_tross,Rotation isomorphism square
SQ-022,catalog_to_author,subject_catalog_functor,author_index_functor,pol_treatises,vold_passages,influence,map_pol_authors,map_vold_authors,expand_pol,expand_vold,true,diagram_chase,948,gellen_tross,Philosopher influence relation
SQ-023,model_shift,embedding_functor_A,embedding_functor_B,tross_constellation,vance_weights,methodological_link,transform_tross,transform_vance,embed_A_method,embed_B_method,true,numerical_verification,955,gellen_tross,Family methodology connection
SQ-024,representation_shift,document_functor_D1,document_functor_D2,dead_river_log,creature_sighting,event_link,shift_log,shift_sighting,D1_event,D2_event,true,diagram_chase,958,gellen_tross,Expedition event naturality
SQ-025,failed_transform,functor_F,functor_G,test_A,test_B,test_f,arbitrary_A,arbitrary_B,F_f,G_f,false,counterexample,945,gellen_tross,Demonstrates non-naturality
SQ-026,model_shift,embedding_functor_A,embedding_functor_B,dray_manuscript,tross_manuscript,dialogue,transform_dray,transform_tross,embed_A_dialogue,embed_B_dialogue,true,numerical_verification,960,gellen_tross,Tross-Dray correspondence verified
SQ-027,catalog_to_author,subject_catalog_functor,author_index_functor,moll_persistence,anster_hierarchy,philosophical_connection,map_moll,map_anster,expand_moll,expand_anster,true,diagram_chase,952,gellen_tross,Philosophy course connections
SQ-028,perspective_shift,representable_functor_A,representable_functor_B,archive_doc,field_doc,context_shift,hom_archive,hom_field,view_A,view_B,true,yoneda,962,gellen_tross,Archive vs field perspective
